NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_(mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vit_B6_(mg),Vit_B12_(mcg),Vit_A_IU,Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_D_IU,Vit_K_(mcg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
01210,EGG MIX USDA CMDTY,2.78,555,35.6,34.5,3.15,23.97,,2.46,171,3.23,11,451,373,576,2.76,0.149,0.056,118,,0.19,1.277,0.267,0.207,2.9,398,117,2.04,7.4,296,0.7,10.305,13.745,7.555,975
01211,MILK WHL 3.25% MILKFAT WO/ ADDED VIT A & VITAMIN D,88.13,61,3.15,3.27,0.67,4.78,0,5.05,113,0.03,10,84,132,43,0.37,0.025,0.004,3.7,0,0.046,0.169,0.089,0.036,0.45,162,46,0.07,0.1,2,0.3,1.865,0.812,0.195,10
01212,MILK DRY WHL WO/ ADDED VITAMIN D,2.47,496,26.32,26.71,6.08,38.42,0,38.42,912,0.47,85,776,1330,371,3.34,0.08,0.04,16.3,8.6,0.283,1.205,0.646,0.302,3.25,934,258,0.58,0.5,20,2.2,16.742,7.924,0.665,97
01214,MILK CND EVAP WO/ ADDED VIT A & VITAMIN D,74.04,135,6.81,7.56,1.55,10.04,0,10.04,261,0.19,24,203,303,106,0.77,0.016,0.006,2.3,1.9,0.047,0.316,0.194,0.05,0.16,239,65,0.16,0.1,6,0.6,4.591,2.335,0.245,29
01215,CHEESE PRODUCT PAST PROCESS AMERICAN RED FAT FORT W/ VIT D,51.8,240,17.6,14.1,5.9,10.6,0,8.02,529,0.2,33,829,330,1201,2.36,0.03,,12.4,0,0.07,0.48,0.18,0.08,1.11,945,250,0.27,5.3,212,2.6,8.85,4.13,0.41,53
01216,YOGURT FRUIT LOFAT 9 GRAMS PROT PER 8 OZ FORT W/ VITAMIN D,75.3,99,3.98,1.15,0.93,18.64,0,18.64,138,0.06,13,109,177,53,0.67,0.079,0.064,2.8,0.6,0.034,0.162,0.086,0.037,0.43,40,11,0.02,1.3,52,0.1,0.742,0.316,0.033,5
01217,YOGURT FRUIT LOFAT 10 GRAMS PROT PER 8 OZ FORT W/ VITAMIN D,74.48,102,4.37,1.08,1.02,19.05,0,19.05,152,0.07,15,119,195,58,0.74,0.08,0.065,3.1,0.7,0.037,0.178,0.095,0.04,0.47,36,10,0.02,1.3,52,0.1,0.697,0.297,0.031,4
01218,YOGURT FRUIT VAR NONFAT FORT W/ VITAMIN D,75.4,95,4.4,0.2,1,19,0,19,152,0.07,15,119,194,58,0.74,0.011,0.035,6,0.7,0.04,0.18,0.1,0.04,0.47,12,2,0.06,1.3,52,1.1,0.119,0.05,0.016,2
01219,YOGURT FRUIT LOWFAT W/ LO CAL SWTNR FORT W/ VITAMIN D,74.1,105,4.86,1.41,1.03,18.6,0,2.9,152,0.07,16,133,194,58,0.82,0.08,0.065,3.1,0.7,0.041,0.18,0.105,0.045,0.52,443,131,0.06,1.3,52,1.2,0.909,0.387,0.04,6
01220,YOGURT VANILLA LOFAT 11 GRAMS PROT PER 8 OZ FORT W/ VIT D,79,85,4.93,1.25,1.02,13.8,0,13.8,171,0.07,16,135,219,66,0.83,0.013,0.004,4.9,0.8,0.042,0.201,0.107,0.045,0.53,43,12,0.02,1.2,47,0.1,0.806,0.343,0.036,5
01221,YOGURT VAN/LEM FLAV NONFAT MILK W/ LO-CAL SWTNR FORT W/VIT D,87.43,43,3.86,0.18,1,7.5,0,7.5,143,0.12,13,109,177,59,0.67,0.079,,3.1,1.1,0.034,0.162,0.086,0.037,0.43,6,2,0,1.2,47,0,0.116,0.049,0.005,2
01222,YOGURT CHOC NONFAT MILK FORT W/ VITAMIN D,71.57,112,3.53,0,1.37,23.53,1.2,14.97,88,0.42,40,166,339,135,1.13,0.209,,7,0,0.047,0.215,0.223,0.047,0.5,0,0,0,1.2,47,0,0,0,0,1
01223,PROTEIN SUPP MILK BSD MUSCLE MILK PDR,15,411,45.71,17.14,3.65,18.5,7.1,5.71,500,8.57,200,643,1129,329,7.14,1,,33.8,30,0.714,0.857,10,1,3,2500,750,7.07,5,200,0.5,1.553,12.105,1.77,21
01224,PROTEIN SUPP MILK BSD MUSCLE MILK LT PDR,12,396,50,12,4,22,2,4,1200,12,280,700,840,250,10,1.4,,33.8,42,1,1.2,14,1.4,4.2,3500,1050,9.45,7,280,0.5,1.087,8.474,1.239,10
01225,DULCE DE LECHE,28.71,315,6.84,7.35,1.74,55.35,0,49.74,251,0.17,22,193,350,129,0.79,0.004,0.002,2.7,2.6,0.016,0.405,0.21,0.016,0.31,267,74,0.2,0.2,6,1.3,4.534,2.143,0.375,29
01226,EGG SUB LIQ OR FRZ FAT FREE,87,48,10,0,1.3,2,0,2,73,1.98,15,72,213,199,0.98,0.022,0.006,41.3,0.5,0.12,0.386,0.14,0.133,0.34,225,11,1.59,1.6,66,0.2,0,0,0,0
01227,CHEESE DRY WHITE QUESO SECO,42.17,325,24.51,24.35,6.93,2.04,,0.55,661,0.18,27,475,116,1808,3.28,0.027,0.018,22.4,,0.038,0.23,0.083,0.091,1.7,800,226,0.49,1.8,73,1.5,13.718,6.418,1.244,78
01228,CHEESE FRSH QUESO FRESCO,51.42,299,18.09,23.82,3.68,2.98,0,2.32,566,0.2,24,385,129,751,2.58,0.033,0.014,19.3,0,0.042,0.173,0.027,0.076,1.68,806,224,0.37,2.7,110,1,12.94,5.966,1.106,69
01229,CHEESE WHITE QUESO BLANCO,48.7,310,20.38,24.31,4.07,2.53,,1.76,690,0.18,29,467,126,704,3.06,0.025,0.021,13.8,,0.048,0.23,0.035,0.086,1.75,555,157,0.47,0.7,27,1.6,13.661,6.459,1.149,70
01230,MILK BTTRMLK FLUID WHL,87.91,62,3.21,3.31,0.68,4.88,0,4.88,115,0.03,10,85,135,105,0.38,0.025,0.004,3.7,0,0.047,0.172,0.09,0.036,0.46,165,47,0.07,1.3,52,0.3,1.899,0.827,0.198,11
